text,action
빈대 퇴치제 추천해주세요,guide
천안아산역에 모기 물려서 호흡이 가빠요,emergency
방금 건대입구역에서 love bug 방역 필요해요,dispatch
어제 광화문에서 바퀴벌레 나왔어요,dispatch
오늘 love bugs 출몰했어요,dispatch
말 벌 어떻게 생겼나요?,guide
러브 버그 키우고 싶어,none
지난해엔 빈대 심했었지,none
아까 천호역에서 빈대 엄청 많네요,dispatch
인천 송도 단풍 구경했어요,none
사당역에서 love bugs 천지예요,dispatch
아까 의정부역에서 바퀴벌레 떼로 봤어요,dispatch
아까 전주 한옥마을에서 말 벌 때문에 호흡이 가빠요,emergency
러브버그 키우고 싶어,none
한강공원에 love bugs 신고할게요,dispatch
성수역 맛집 다녀왔어요,none
여의도공원에 모기 물려서 퉁퉁 부었어요,emergency
진드기 정말 사랑스러워,none
어제 춘천 명동에서 빈대 물려서 온몸이 부었어요,emergency
어제 잠실역에서 빈대 출현했습니다,dispatch
love bug에 대해 알려줘,guide
진드기 퇴치 방법 궁금해요,guide
러브 버그 퇴치 방법 알려주세요,guide
love bug 모양 키링을 샀어요,none
청주 성안길 벚꽃 폈어요,none
부산 해운대 주변에 말벌 들어왔어요,emergency
빈대 예방하는 방법 있나요?,guide
어제 창원 상남동에서 바퀴벌레 떼로 봤어요,dispatch
빈대 응원해,none
단국대 천안캠퍼스 근처에 말 벌 출현했습니다,emergency
여의도공원 근처에 말벌 쏘여서 숨쉬기 힘들어요,emergency
빈대 어떻게 예방하나요?,guide
아까 강남역에서 모기 엄청 많네요,dispatch
바퀴벌레 퇴치제 추천해주세요,guide
어제 강남역에서 말 벌 쏘여서 숨쉬기 힘들어요,emergency
예전엔 말 벌 많이 나왔었어,none
어릴 때 러브 버그 물린 적 있어,none
여의도공원에 love bugs 너무 많아요,dispatch
청주 성안길에 러브버그 떼로 봤어요,dispatch
서울숲 주변에 러브 버그 뒤덮었어요,dispatch
북서울꿈의숲 맛집 다녀왔어요,none
울산 삼산동 도착했습니다,none
대전역 주변에 러브 버그 잔뜩 있어요,dispatch
두정역에서 말 벌 집을 발견했어요,emergency
북서울꿈의숲 근처에 말벌 보여서 무서워요,emergency
방금 정자역에서 말 벌 쏘여서 숨쉬기 힘들어요,emergency
모기 캐릭터 인형을 샀어요,none
청주 성안길에서 빈대 물린 데가 심하게 부었어요,emergency
지난해엔 바퀴벌레 심했었지,none
바퀴벌레 정말 사랑스러워,none
강남역 구경 잘했어요,none
경의선숲길 주변에 love bugs 뒤덮었어요,dispatch
불당동에서 자전거 탔어요,none
뚝섬한강공원 다녀왔어요,none
러브버그라는 단어를 배웠어요,none
말벌 너무 좋아요,none
말 벌 캐릭터 좋아해,none
노원역 갔다가 말 벌 쏘여서 퉁퉁 부었어요,emergency
인천 송도 갔다가 love bugs 잔뜩 있어요,dispatch
방금 잠실역에서 말벌 보여서 무서워요,emergency
일산 호수공원에 빈대 뒤덮었어요,dispatch
아까 이태원역에서 모기 엄청 많네요,dispatch
말벌 어떻게 예방해요?,guide
빈대 언제 많이 나오나요?,guide
아까 부산 광안리에서 러브 버그 때문에 불편해요,dispatch
진드기 어떻게 없애요?,guide
아까 백석대에서 말벌 때문에 위험해요,emergency
한강공원에 러브버그 기어다녀요,dispatch
바퀴벌레 예방하는 방법 있나요?,guide
말벌 어떻게 예방하나요?,guide
부산 해운대 주변에 진드기 뒤덮었어요,dispatch
석촌호수에서 자전거 탔어요,none
정자역 근처에 말벌 쏘여서 퉁퉁 부었어요,emergency
아까 제주 노형동에서 말 벌 쏘여서 부었어요,emergency
포항 영일대 근처에 러브 버그 떼로 봤어요,dispatch
잠실역에서 love bug 신고합니다,dispatch
불당동에서 모기 천지예요,dispatch
love bug 영화 제목 같네요,none
홍대입구역에 말 벌 들어왔어요,emergency
보라매공원 주변에 모기 천지예요,dispatch
올림픽공원 주변에 빈대 물린 데가 심하게 부었어요,emergency
러브버그 무엇을 먹나요?,guide
일산 호수공원 갔다가 말 벌 쏘여서 아파요,emergency
광주 충장로에 러브 버그 나왔어요,dispatch
옛날엔 러브버그 자주 봤지,none
경의선숲길에서 러브 버그 출현했습니다,dispatch
모기 퇴치 방법 궁금해요,guide
아까 창원 상남동에서 러브버그 잔뜩 있어요,dispatch
말 벌 생기는 이유가 뭐예요?,guide
단국대 천안캠퍼스에서 자전거 탔어요,none
love bug 어떻게 없애나요?,guide
바퀴벌레 왜 생겨요?,guide
어제 대구 동성로에서 진드기 물려서 열이 나요,emergency
광주 충장로 갔다가 모기 들끓어요,dispatch
love bug 어떻게 없애요?,guide
신촌역 근처에 말벌 들어왔어요,emergency
진드기 나왔어요,dispatch
대구 동성로에서 말벌 한테 쏘였어요,emergency
모기 그림을 그렸어요,none
건대입구역 근처에 말벌 때문에 호흡이 가빠요,emergency
광교호수공원 다녀왔어요,none
어제 양재시민의숲에서 love bug 너무 많아요,dispatch
방금 노원역에서 말 벌 보여서 무서워요,emergency
부산 광안리 갔다가 모기 물린 데가 심하게 부었어요,emergency
